,Player,Team,Age,GP,W,L,Min,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
1,Shai Gilgeous-Alexander,OKC,26,44,37,7,34.4,32.1,11.3,21.4,52.8,2,5.7,35.1,7.5,8.3,90.6,0.9,4.4,5.3,6,2.7,2.1,1.1,2.2,54.2,4,0,12.4
2,Giannis Antetokounmpo,MIL,30,39,23,16,34.9,31.7,12.7,20.8,60.8,0.1,0.7,14.3,6.3,10.8,58.3,2.2,9.9,12.2,5.8,3.5,0.7,1.3,2.4,57.8,35,5,4.1
3,Nikola Jokić,DEN,29,41,26,15,36.3,29.7,11.3,20,56.7,2,4.3,47.2,5,6.1,81.3,3.2,9.7,12.9,10.1,3.1,1.8,0.7,2,64.6,34,21,9
4,LaMelo Ball,CHA,23,31,11,20,33.3,28.2,9.7,23.3,41.9,4.1,12.3,33.7,4.5,5.5,82,1,4.3,5.3,7.3,3.7,1.4,0.3,3.5,46.8,8,0,-1.8
5,Luka Dončić,DAL,25,22,13,9,35.7,28.1,9.8,21.2,46.4,3.4,9.6,35.4,5.1,6.6,76.7,0.7,7.6,8.3,7.8,3.4,2,0.4,2.6,53.7,10,3,7.6
6,Kevin Durant,PHX,36,36,23,13,36.2,27.3,9.9,18.8,52.7,2.3,5.8,40.2,5.2,6.2,83,0.4,5.8,6.3,4.2,3.1,0.8,1.4,1.7,44.6,3,0,0.3
7,Tyrese Maxey,PHI,24,39,18,21,37.9,27.1,9.4,21.5,43.8,3.2,9.6,33.7,5,5.8,87.1,0.3,3.2,3.5,6,2.4,1.9,0.4,2.2,44.9,7,1,-0.6
8,Jayson Tatum,BOS,26,45,31,14,36.3,26.7,8.9,19.8,45.1,3.5,10.1,35,5.3,6.6,80.3,0.6,8.4,9,5.4,2.8,1.2,0.5,2.2,48,20,1,7.8
9,Anthony Edwards,MIN,23,47,26,21,36.7,26.4,9,20.3,44.4,4.1,9.8,41.8,4.3,5.2,82.9,0.7,4.9,5.7,4.4,3.4,1.2,0.6,1.9,41.8,2,0,3
10,Jalen Brunson,NYK,28,47,31,16,35.2,25.9,8.9,18.2,49.1,2.4,5.9,40.5,5.6,6.9,81.7,0.4,2.5,2.9,7.5,2.3,0.9,0.1,2.2,41.3,10,0,4.5
11,Anthony Davis,LAL,31,42,24,18,34.3,25.7,9.5,18,52.8,0.7,2.2,29.8,6,7.6,78.8,2.8,9,11.9,3.4,2.2,1.3,2.1,2,53.1,32,0,0.5
12,Devin Booker,PHX,28,41,23,18,37,25.5,8.4,18.9,44.4,2.7,7.8,34.1,6.1,6.8,89.3,1,3,4,6.7,2.6,1.2,0.3,2.3,42.2,6,0,-0.3
13,Damian Lillard,MIL,34,38,22,16,36.4,25.3,7.8,17.3,45.2,3.4,8.9,38.2,6.2,6.8,92.2,0.5,4.1,4.7,7.3,2.9,1.2,0.2,1.8,43.3,9,2,1.5
